1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
1,2,1,2,2,2,1,1,1,2,1,2,2,1,2,1,1,2,2,1,2,2,1,1,2,2,1,1,1,2,1,2,1,2,1,1,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,1,2,1,2,2,1,2,1,2,1,1,2,1,1,2,1,2,2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,2,1,1,2,1,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.9,0.9,0.77,0.77,0.77,0.9,0.9,0.77,0.9,0.9,0.77,0.77,0.9,0.9,0.9,0.77,0.77,0.77,0.77,0.9,0.77,0.9,0.9,0.77,0.77,0.9,0.77,0.9,0.9,0.77,0.77,0.9,0.77,0.9,0.9,0.9,0.77,0.77,0.9,0.9,0.77,0.9,0.9,0.77,0.77,0.9,0.77,0.9,0.77,0.9,0.77,0.77,0.9,0.77,0.77,0.9,0.77,0.77,0.9,0.9,0.77,0.77,0.9,0.9,0.9,0.77,0.9,0.77,0.9,0.77,0.9,0.77,0.77,0.9,0.77,0.77,0.9,0.9,0.9,0.77,0.77,0.9,0.77,0.9,0.77,0.9,0.9,0.9,0.77,0.77,0.77,0.9,0.9,0.9,0.77,0.77,0.77,0.77,0.9,0.77,0.9,0.9,0.77,0.9,0.9,0.77,0.77,0.9,0.9,0.77,0.9,0.77,0.9,0.77,0.9,0.9,0.77,0.77,0.77,0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0
12,9,15,16,16,9,12,15,12,9,15,16,9,12,9,15,15,16,16,12,16,9,12,15,16,9,15,12,12,16,15,9,15,9,12,12,16,15,12,9,16,9,9,16,15,12,16,12,15,9,16,16,12,15,15,9,15,16,9,12,16,15,9,12,12,16,12,15,9,15,9,16,16,12,15,16,12,9,9,16,15,9,15,12,16,9,12,12,15,16,15,12,9,9,15,16,15,16,12,15,9,9,16,12,12,16,15,9,12,16,9,15,9,16,12,12,16,15,15,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
13,11,10,14,14,11,13,10,13,11,10,14,11,13,11,10,10,14,14,13,14,11,13,10,14,11,10,13,13,14,10,11,10,11,13,13,14,10,13,11,14,11,11,14,10,13,14,13,10,11,14,14,13,10,10,11,10,14,11,13,14,10,11,13,13,14,13,10,11,10,11,14,14,13,10,14,13,11,11,14,10,11,10,13,14,11,13,13,10,14,10,13,11,11,10,14,10,14,13,10,11,11,14,13,13,14,10,11,13,14,11,10,11,14,13,13,14,10,10,11,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
805.419894328227,648.435980355931,2191.59711601266,800.037193076836,1970.48054157026,1414.9227564697,2162.09809031473,1630.51291459839,1580.30959277642,2277.09085028611,1101.95856594918,1672.95831051878,827.861109558443,1311.16301289778,2178.56638830928,842.666575340151,1477.68135236214,2461.01195512862,2091.26602946468,1624.34345239467,2019.76542485345,1874.87915665845,1511.4894029895,2133.42963099121,1608.49617359379,1903.25219293382,1987.81984703443,709.108228696261,2325.11923901525,2283.44948338374,1845.72686442815,1366.17906248859,641.967460224961,1661.27959562038,1739.4653150126,2075.93532844767,1163.93517633778,1691.52161279706,1092.40818524562,2302.53093422063,1673.48240383486,2185.26893124216,1253.89169044896,1303.52253075924,516.933254818974,1473.76635270304,531.850401207769,859.3745654467,1040.73735050531,2496.20048760645,1115.13705811753,926.114350744307,1037.13606751288,948.686433963019,974.246299864705,1883.79593608325,1445.73157102836,1453.73828056217,1836.79602558609,665.609186753241,1479.39216955192,1758.60572774382,542.897991754453,735.807920432607,2330.50505337553,820.617396611216,988.834126006673,954.375948250993,687.109375353285,1996.07372092688,2223.31573492271,2413.70049127378,2375.35681867196,645.294287583843,2239.15762760657,1586.40838222217,1601.90730432111,1536.09914035905,1125.09328605983,836.699435377914,2010.41450846692,1918.25647311579,957.126949843101,1384.31728983717,1851.0923796186,2237.04368440441,1187.19424995856,2034.57184833544,2250.47277816185,505.599297409163,1071.80544561456,942.898443171318,2126.23823206644,2467.92287972063,1756.60716210732,1658.40190126942,2307.67287154271,1935.22287239739,1306.27351962917,618.688750288845,1451.43330842105,1856.69059765887,2398.25994915632,1225.56696133663,2135.32185886959,1548.3816728482,2208.30130596071,1783.89713608579,2392.89564732173,836.273944348035,893.672033298106,2102.45160950951,2338.72157064353,1611.5795800869,1183.65693368929,1460.91496220276,2352.65760847765,1217.48591596357,1839.07833126731,1837.79073677212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,2000,1800,1600,2000,1400,2000,1400,1800,1400,1400,1600,1200,2000,1400,1600,2000,1200,1200,1200,2000,1400,1600,1200,2000,1800,1800,1400,1800,1800,1800,1200,1400,1600,1400,1800,2000,2000,1400,2000,1200,1400,1800,2000,1600,1600,1400,1400,1400,2000,1200,1200,1400,1600,1600,1600,1600,2000,1200,1400,1800,1600,1800,1600,1800,2000,1600,2000,1200,1600,1400,1200,1200,1400,1200,1800,1400,2000,1800,1200,2000,2000,1800,2000,1400,1400,1200,1200,1800,1600,1400,1800,1800,1400,1800,1200,1200,1800,1200,1600,1600,1200,1800,2000,1600,2000,1200,1800,1800,1600,1600,1600,1600,2000,2000,1800,1600,1400,1200,1200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
